Title,Part,Persons,Primary person,Wikidata ID,Primary person role,Edition,Language/s,Publication statement,Extent,Type of content,Series,Note,ISBN,Subject,Location,Shelf mark,Subject heading,Further documents,Collective title,Manufacture statement,Abstract,Corporate body,Record place and date,Form of work,Notes,Title of work,Wrong ISBN,Link to digital copy,Bibliogr. context,Further information,Copyright date,Further title,Parallel title proper
"Warqa wa Gulšāh / surūda-i ʿAiyūqī ; nigārgar ʿAbd-al-Muʾmin Muḥammad Ḫūyī Naqqāš ; nusḫabargardān-i dastniwīs-i šumāra-i H. 841 Mūza-i Tūpqāpī Sarāy ; kitābat wa taṣwīrsāzī-i: sada-i haftum-i hiǧrī ; pazūhiš duktur Bihrūz Īmānī, saiyid Muḥammad Ḥusain Marʿašī ورقه و گلشاه / سرودۀ عیوقی ; نگارگر: عبدالمؤمن محمد خویی نقاش ; نسخه برگردان دستنویس شمارۀ H.841 موزۀ توپقاپی سرای ; کتابت و تصویرسازی: سدۀ هفتم هجری ; پژوهش دکتر بهروز ایمانی، سید محمد حسین مرعشی Varqah va Golshah",,"ʿAiyūqī *ca. 11. Jh* [VerfasserIn] ; عیوقی *ca. 11. Jh* [VerfasserIn] Īmānī, Bihrūz *1971-* [HerausgeberIn] ; ایمانی, بهروز *1971-* [HerausgeberIn] ; Marʿašī, Muḥammad Ḥusain [HerausgeberIn] ; مرعشی, محمد حسین [HerausgeberIn] ; Ḫūyī, ʿAbd-al-Muʾmin -al [BuchkünstlerIn] ; الخوييو, عبد المؤمن [BuchkünstlerIn]",ʿAiyūqī,,VerfasserIn,Čāp-i 1 - چاپ 1,Persian,"Tihrān : Intišārāt-i Duktur Maḥmūd Afšār ; تهران : انتشارات دکتر محمود افشار ; Tihrān : Intišārāt-i Suḫan ; تهران : انتشارات سخن, 1401 h.š. [2022]","112, 174 Seiten : Faksimiles ; 25 cm",Quelle,"Maǧmūʿa-i intišārāt-i adabī wa tārīḫī-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī. - Tihrān : Bunyād-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī, 1973- ; ZDB-ID: 2282916-7 ; 297 Ganǧīna-i zabān wa adabīyāt-i fārsī-i darī ; 106","Includes bibliographical references (pages [171]-174) and index In arabischer Schrift, persisch",978-622-7706-20-8 622-7706-20-5,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 656 Epen {Persisch},ALS1,KJQ 656 Aiy:z = 2024 A 4970,*Persisch / Lyrik / Ghasnawiden / Handschrift / ʿAiyūqī *ca. 11. Jh*. Warqa wa Gulšāh *Persian poetry -- 747-1500 *747-1500 ; Persian poetry,Library of Congress Classification: PK6451.A84 Dewey Decimal Classification: 891.5511;,,,,Dr. Mahmud Afshar Foundation [Herausgebendes Organ] Dr. Mahmud Afshar Foundation [Herausgebendes Organ],,Catalog,,,,,,,,,
"Khāṭirāt-i Duktur Salām Allāh Jāvīd / nivīsandah, Salām Allāh Jāvīd ; tarjumah, tadvīn va tawz̤īḥ-i, Raḥīm Raʼīsʹniyā ‏خاطرات دکتر سلام الله جاويد /‏ / ‏نويسنده، سلام الله جاويد ؛ ترجمه، تدوين و توضيح، رحيم رئيس‌نيا",,"Jāvīd, Salām Allāh [VerfasserIn] ; ‏جاويد, سلام الله [GeistigeR SchöpferIn] Raʼīsʹniyā, Raḥīm [ÜbersetzerIn] [ZusammenstellendeR] ; ‏رئيس‌نيا, رحيم [SonstigeR]",Salamullah Javid,Q579059,VerfasserIn,Chāp-i avval - ‏چاپ اول,Persian (Language of original: Azerbaijani),"Tihrān : Intishārāt-i Shīrāzah-i Kitāb-i Mā ; ‏تهران :‏ : ‏انتشارات شيرازه کتاب ما،‏, 1401 [2022]","2 volumes (1145 pages) : illustrations, map, facsimiles ; 22 cm",,Majmūʻah-ʼi tārīkh-i muʻāṣir-i Īrān ; 94 ‏مجموعۀ تاريخ معاصر ايران ؛‏ ; ‏94,"Includes bibliographical references (volume 2, pages 1001-1010) and indexes In Persian; some text translated from Azerbaijani",978-622-7489-81-1 set 978-622-7489-80-4 v. 1 978-622-7489-82-8 v. 2,,,,"*Jāvīd, Salām Allāh -- Diaries -- DLC ; Ḥizb-i ʻAdālat (Iran) -- DLC ; Ḥizb-i Dīmūkrātī-i Āz̲arbāyjan (Iran) -- DLC ; Governors -- Iran -- Azerbaijan -- Diaries -- DLC ; Political parties -- Iran -- History -- DLC ; Azerbaijan (Iran) -- Politics and government -- DLC ; Azerbaijan (Iran) -- History -- DLC",Library of Congress Classification: DS316.9.J38,"Khāṭirāt-i Duktur Salām Allāh Jāvīd / nivīsandah, Salām Allāh Jāvīd ; tarjumah, tadvīn va tawz̤īḥ-i, Raḥīm Raʼīsʹniyā ‏خاطرات دکتر سلام الله جاويد /‏ / ‏نويسنده، سلام الله جاويد ؛ ترجمه، تدوين و توضيح، رحيم رئيس‌نيا",,"Memiors of Salām Allāh Jāvīd was an Iranian Azerbaijani politician and physician, was Governor of Azerbaijan and Interior Minister of Azerbaijan's Government",,,,"jild-i avval. Az Firqah-ʼi ʻAdālat tā Firqah-ʼi Dimūkrāt-i Āz̲arbāyjān -- jild-i duvvum. Bāzmāndah-ʼi rūzgār, Mulāḥaẓātī Pīrāmūn.",,,,,,,,
Bar Šāwuš / Raḥmān Karīmī بر شاوش / رحمان کریمی,,"Karīmī, Raḥmān *1937-2022* [VerfasserIn] ; کریمی, رحمان *1937-2022* [VerfasserIn]",Rahman Karimi,Q116533774,VerfasserIn,Čāp-i duwwum - چاپ دوم,Persian,"Düren : Shaker Media, 1401h.š [2022/2023]","176 Seiten ; 22 cm x 15.5 cm, 162 g",,,"In arabischer Schrift, persisch, Einleitung: Englisch",978-3-95631-921-1,KJQ 658 Dichtung der Moderne {Persisch},ALS1,KJQ 658 KarR:z = 2022 A 7036:2,,"Regensburger Verbund-Klassifikation: EV 7699: E Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen / EV Indoiranische Sprachen und  Literaturen (unter Einschluss nichtindogermanischer Sprachen) / EV 500-EV 9999 Iranische Sprachen und Literaturen, Iranistik / EV 3200-EV 9999 Iranische Literatur / EV 4000-EV 8999 Neuiranische Literatur / EV 4300-EV 8999 Neupersische Literatur / EV 6000-EV 8999 Moderne neupersische Literatur (ab Mitte des 19. Jahrhunderts) / EV 6400-EV 7699 Einzelne Autoren und Anonyma (bis Geburtsjahr 1975) / Sonstige Autoren",Maǧmūʿa-i ašʿār / Raḥmān Karīmī ; Ǧild 2 مجموعه اشعار / رحمان کریمی ; جلد 2,,,Shaker Media GmbH [Verlag],,,,,,,,,,,
"Hašt bihišt : tarǧama-i Maǧālis an-nafāʾis Amīr ʿAlī Šīr Nawāʾī / Muḥammad Ibn-Mubārak Qazwīnī ; taṣḥīḥ-i wa taḥqīq-i duktur Hādī Bīdakī هشت بهشت : ترجمۀ مجالس النفائس امیر علی شیرنوائی / محمد بن مبارک قزوینی, تصحیح و تحقیق دکتر هادی بیدکی",,"ʿAlī Šīr Nawāʾī *1441-1501* [VerfasserIn] ; علیشیر نوائی *1441-1501* [VerfasserIn] Ḥakīm-i Šāh, Muḥammad Ibn-Mubārak Qazwīnī *-1558* [ÜbersetzerIn] ; حکیم شاه, محمد بن مبارک قزوینی *-1558* [ÜbersetzerIn] ; Bīdakī, Hādī *1987-* [MitwirkendeR] ; بیدکی, هادی *1987-* [MitwirkendeR]",Ali-Shir Nava'i,Q503340,VerfasserIn,Čāp-i 1 - چاپ 1,Persian,"Tihrān : Intišārāt-i Duktur Maḥmūd Afšār ; تهران : انتشارات دکتر محمود افشار, 1401 h.š. [2022/2023]",727 Seiten,Biografie,"Maǧmūʿa-i intišārāt-i adabī wa tārīḫī-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī / Dr. Mahmud Afshar Foundation. - Tihrān : Bunyād-i Mauqūfāt-i Duktur Maḥmūd-i Afšār, 1390 h.š. [2011/2012] - ; ZDB-ID: 2772433-5 ; 302","Includes bibliographical references In arabischer Schrift, persisch",978-622-7706-25-3,18.87 Türkische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 677 Allgemeine Biographie {Persisch},ALS1,KJQ 677 Naw:z = 2024 A 4966,*Islam / Sufismus,,,,"Poets, Persian -- Biography",,,,,ʿAlī Šīr Nawāʾī *1441-1501*. Maǧālis an-nafāʾis,,,,,,,
Dāstānhā-i šīrīn : kitābčahā-i mardumī-i fārsī az nīma-i duwwum-i sada-i bīstum-i mīlādī / niwīsanda Ūlrīš Mārzūlf داستان های شيرين : کتابچه های مردمی فارسی از نيمه ی دوم سده ی بيستم ميلادی / نویسنده اولریش مارزولف,,"Marzolph, Ulrich *1953-* [VerfasserIn] ; م‍ارزول‍ف‌, اولریش [VerfasserIn] Hāšimī, Farānak [ÜbersetzerIn] ; هاشمی, فرانک [ÜbersetzerIn]",Ulrich Marzolph,Q61885862,VerfasserIn,,Persian (Language of original: German),"Tihrān : Warrāqān ; تهران : وراقان, 1400 h.š. [2000]","222 Seiten : Illustrationen (farbig), Faksimiles",Bibliografie (1950-1994),,"Literaturverzeichnis: Seite 209-222 Erweiterte Übersetzung von Marzolph, U.: Dāstānhā-ye širin. Fünfzig persische Volksbüchlein aus der zweiten Hälfte des zwanzigsten Jahrhunderts. Stuttgart: Steiner 1994 (Abhandlungen für die Kunde des Morgenlandes 50,4) In arabischer Schrift, persisch",978-600-99928-5-0,18.69 Iranische Sprachen und Literaturen 17.87 Besondere Literaturkategorien 06.22 Buchgestaltung | KJQ 546 Volksliteratur. Orale Literatur {Neupersisch},ALS1,KJQ 546:a = 2022 A 3468,"*Persisch / Volksbuch *Persisch / Volksliteratur *Marzolph, Ulrich *1953-* / Sammlung / Katalog *Persisch / Volksliteratur / Volksbuch / Geschichte 1950-1994 *Marzolph, Ulrich ; Perzisch ; Volksboeken ; Persisch ; Sammlung ; Volksliteratur ; Katalog ; Volksbuch",Library of Congress Classification: GR290 ; PJ5 Regensburger Verbund-Klassifikation: EL 7800: E Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen / EL Orientalistik / EL 7500-EL 7980 Allgemeines / Sammelwerke Regensburger Verbund-Klassifikation: EV 4270: Volksliteratur Regensburger Verbund-Klassifikation: LB 10365: Iran,,,,,,,,,,,,,,,
Šāhnāma-i Firdausī : taṣḥīḥ-i intiqādī wa šarḥ-i yakāyak-i abyāt / Mihrī Bihfar شاهنامه فردوسی : تصحیح انتقادی و شرح یکایک ابیات / مهری بهفر,Daftar-i 4 دفتر 4,"Firdausī *940-1020* [VerfasserIn] ; فردوسى *940-1020* [VerfasserIn] Bihfar, Mihrī *1973-* [HerausgeberIn] ; بهفر, مهری *1973-* [HerausgeberIn]",Ferdowsi,Q43459,VerfasserIn,Čāp-i 4 - چاپ 4,Persian,"Tihrān : Farhang-i Našr-i Nau ; تهران : فرهنگ نشر نو, 1400 h.š. [2021]","14, 646 Seiten ; 25 cm",Quelle,,"Ersch.-Jahr 1400 h.š. = 2021 In arabischer Schrift, persisch",978-600-7439-11-1,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 656 Epen {Persisch},ALS1,KJQ 656 Fir:z = 2024 A 4987:4,,,,,,,,,,,,,,,,,
Malkum Ḫān : naẓarīyahʹpardāz-i nawsāzī-i siyāsī dar ʿaṣr-i mashrūṭah / Ḥasan Qāḍī Murādī ملکم خان : نظريهپرداز نوسازى سىاسى در عصر مشروطه / حسن قاضى مرادى,,"Qāḍī Murādī, Ḥasan *1953-* [VerfasserIn] ; قاضى مرادى, حسن [VerfasserIn]","Qāḍī Murādī, Ḥasan",,VerfasserIn,Čāp-i 1 - چاپ 1,Persian,"[Tihrān] : Našr-i Aḫtarān ; تهران : نشر اختران, 1400 h.š. [2021]",368 Seiten ; 21 cm,Biografie,,"Includes bibliographical references (p. [356]-362) and index Hier auch später erschienene, unveränderte Nachdrucke Abweichender Titel: Malkum Khān Ersch.-Jahr 1400 h.š. = 2021 In arabischer Schrift, persisch",,15.76 Vorderer und mittlerer Orient Geschichte | PUH 258 Personen {Iran 1794-1925} PUH 252 Politik {Iran 1794-1925} KJQ 549 Politische Literatur {Neupersisch},ALS1,PUH 258:u = 2025 A 1893,*Mīrzā Malkam Ḫān *1834-1908* *Iran / Kadscharen<Dynastie : 1794-1925> / Politiker,Library of Congress Classification: DS316.M55,,,,,,,,,*978-964-889749-4,<a href='http://catdir.loc.gov/catdir/toc/fy10pdf01/ 2008326939.html' target=_blank>http://catdir.loc.gov/catdir/toc/ fy10pdf01/2008326939.html</a> Lizenzpflichtig,,,,,
"Muḥarram 1̱2̱7̱9̱ - Rabīʿ al-awwal 1̱2̱8̱3̱  : bi inḍimām safarnāma-hāy Kaǧūr, Fīrūzkūh wa safar-i awwal bi šarq-i Māzandarān محّرم ۱۲۷۹ - ربیع الاول ۱۲۸۳  : به انضمام سفرنامه های کجور، فیروزکوه و سفر اول به شرق مازندران",,"Nāṣir-ad-Dīn<Iran, Schah> *1831-1896* [VerfasserIn] ; ناصرالدین شاه *1831-1896* [VerfasserIn] ʿAbd-Amīn, Maǧīd *ca. 1962/63-* [MitwirkendeR] ; عبدامين, مجيد *ca. 1962/63-* [MitwirkendeR]",Naser al-Din Shah Qajar,Q159416,VerfasserIn,čāp 1 - چاپ اول,Persian,"Tihrān : Intišārāt duktur Maḥmūd Afšār ; تهران : انتشارات دکتر محمود افشار,  1400 h.š. [2021]","678 gezählte, 38 ungezählte Seiten : Illustrationen ; 25 cm",,"Maǧmūʿa-i intišārāt-i adabī wa tārīḫī-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī. - Tihrān : Bunyād-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī, 1973- ; ZDB-ID: 2282916-7 ; 279f bar Ganǧīna-i āsnād wa tārīḫ-i Īrān ; 79 گنجینۀ اسناد و تاریخ ایران ; ٧٩","In arabischer Schrift, persisch",978-622-6441-28-5,KJQ 679 Reise {Persisch},ALS1 | ALS1,KJQ 679:NSQ:z = 2024 A 3735:1 | KJQ 679:NSQ:z = 2024 A 4991:1,,,,,,,,,,,,,,,,,
"Riğāl-i Fārs dar wāpasīn daura-ʾi Qājār : ḥukūmat-i Birītāniyā dar Hind, 1925 / tarğuma Kāwa Bayāt رجال فارس در واپسین دورۀ قاجار : حکومت بریتانیا در هند، 1952 / ترجمه: کاوه بیات",,"Bayāt, Kāwa *1954-* [ÜbersetzerIn] ; بیات, کاوه *1954-* [ÜbersetzerIn]",Kāwa Bayāt,Q137155293,ÜbersetzerIn,Čāp-i 1 - چاپ اول,Persian,"Tihrān : Intišārāt-i Šīrāza Kitāb-i Mā ; تهران : انتشارات شیرازۀ کتاب ما, 1400 h.š. [2021]",206 Seiten : genealogical tables ; 22 cm,,"Maǧmūʿa-i tārīẖ-i muʿāsir-i Īrān. - Tihrān : Šīrāza, 1376h.š. [1997]- ; ZDB-ID: 2638995-2 ; 87","Includes folded genealogical tables Includes bibliographical references and index Ersch.-Jahr 1400 h.š. = 2021 In arabischer Schrift, persisch",978-622-7489-67-5 622-7489-67-0,15.76 Vorderer und mittlerer Orient Geschichte | PUH 258 Personen {Iran 1794-1925} KJQ 541 Biographische Literatur {Neupersisch},ALS1,PUH 258:u = 2024 A 4995,"*Iran / Politiker / Kadscharen<Dynastie : 1794-1925> *Politicians -- Iran -- Fārs -- Biography ; Celebrities -- Iran -- Fārs -- Biography ; Iran -- History -- Qajar dynasty, 1794-1925 ; Politicians -- Iran -- Fārs -- Biography -- DLC ; Celebrities -- Iran -- Fārs -- Biography -- DLC ; Iran -- History -- Qajar dynasty, 1794-1925 -- http://id.loc.gov/authorities/subjects/sh85067900 -- DLC *1794-1925 ; Politiciens - Iran - Fārs (Ostān) - Biographies ; Celebrities ; Politicians ; Qajar Dynasty (Iran) ; Iran - Histoire - 1794-1925 (Dynastie des Qādjārs) ; Iran ; Iran - Fārs ; Biographies ; History",Library of Congress Classification: DS315.9,,,,,,,,,,,,,,,
Āyandah / muʾassis va mudīr-i masʾūl Duktur Maḥmūd Afshār آینده / مؤسس و مدیر مسئول دکتر محمود افشار,,"Yazdī, Maḥmūd Afshār [SonstigeR] ; يزدى, محمود افشار [SonstigeR]",Mahmoud Afshar,Q6401894,SonstigeR,Chāp-i avval - چاپ اول,Persian,"Tihrān : Intishārāt-i Duktur Maḥmūd Afshār ; Intishārāt-i Sukhan ; تهران : انتشارات دکتر محمود افشار ; انتشارات سخن،, 1400 [2021]",4 volumes : chiefly facsimiles ; 25 cm,,Majmūʿah-ʾi intishārāt-i adabī va tārīkhī-i Mawqūfāt-i Duktur Maḥmūd Afshār ; 1-4 مجموعۀ انتشارات ادبی و تاریخی موقوفات دکتر محمود افشار ؛ ; 1-4,[Began with 1 (1304 [1925]); ceased with 46 (1339 [1960])..........................] Photoreproduction/facsimile In Persian,978-622-6441-94-0 set 622-6441-94-1 set 978-622-6441-93-3 volume 1 978-622-6441-95-7 volume 2 622-6441-95-X volume 2 978-622-6441-96-4 volume 3 622-6441-96-8 volume 3 978-622-6441-97-1 volume 4 622-6441-97-6 volume 4,,,,*Iran -- History -- Periodicals *Iran - Histoire - Périodiques ; periodicals ; Periodicals ; Périodiques,Library of Congress Classification: AP95.P3 ; DS251,Āyandah / muʾassis va mudīr-i masʾūl Duktur Maḥmūd Afshār آینده / مؤسس و مدیر مسئول دکتر محمود افشار,,,,,,Sāl-i avval. Tīr-i 1304 - Ābān-i 1305 -- Sā̄l-i duvvum. Day-i 1305 - Isfand-i 1306 -- Sāl-i sivvum. Mihr-i 1323 - Isfand-i 1324 -- Sāl-i chahārum. Mihr-i 1338 - Urdībihisht-i 1339. سال اول. تیر 1304 - آبان 1305 -- سال دوم. دی 1305 - اسفند 1306 -- سال سوم. مهر 1323 - اسفند 1324 -- سال چهارم. مهر 1338 - اردیبهشت 1339.,,,,"Erscheint auch als: Reproduction of (manifestation)- Āyandah (Tehran, Iran : 1925). - Tehran [Iran] : [publisher not identified], 1925-1960",,,,
Tahamtan-nāma : ba hamrāh-i manẓūmahā-i Zāl wa maqātil-i Dīw wa kūh-i Damāwand$daz sarāyandagānī-i nāšinās dar daura-i Ṣafawīya / taṣḥīḥ wa taḥqīq Duktur Riḍā Ġafūrī تهمتن‌نامه : به همراه منظومه های زال و مقاتل دیو و کوه دماوند / از سرایندگانی ناشناش در دورۀ صفویه ؛ تصحیح و تحقیق دکتر رضا غفوری,,"Ġafūrī, Riḍā *ca. 1981/82-* [HerausgeberIn] ; غفوری, رضا [SonstigeR]","Ġafūrī, Riḍā",,HerausgeberIn,,Persian,"Tihrān : Intišārāt-i Duktur Maḥmūd Afšār ; تهران : انتشارات دکتر محمود افشار, 1400 h.š. [= 2021]",,Quelle,Maǧmūʿa-i Intišārāt-i Adabī wa Tārīḫī-i Mauqūfāt-i Duktur Maḥmūd Afšār ; 231 مجموعه انتشارات ادبی و تاریخی موقوفات دکتر محمود افشار ; ۲۳۱ Ganǧīna-i zabān wa adabīyāt-i fārsī-i darī ; 72 گنجینه زبان و ادبیات فارسی دری ; ۷۲,Dieser Auszug aus dem Šāhnāma stammt von einem unbekannten Höfling aus der Safawidenzeit Literaturverzeichnis Seite [457]-473 In arabischer Schrift,978-622-6441-23-0,"18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 664 Volkstümliche Prosa [auch Fabel, Märchen] {Persisch}",ALS1,KJQ 664:z = 2024 A 4961,,"Regensburger Verbund-Klassifikation: EV 4966: E Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen / EV Indoiranische Sprachen und  Literaturen (unter Einschluss nichtindogermanischer Sprachen) / EV 500-EV 9999 Iranische Sprachen und Literaturen, Iranistik / EV 3200-EV 9999 Iranische Literatur / EV 4000-EV 8999 Neuiranische Literatur / EV 4300-EV 8999 Neupersische Literatur / EV 4400-EV 5999 Klassische neupersische Literatur (ab ca. 9. Jahrhundert) / EV 4700-EV 5999 Einzelne Autoren und Anonyma / EV 4966-EV 4967 Firdausī / Primärliteratur Regensburger Verbund-Klassifikation: EV 4967: E Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen / EV Indoiranische Sprachen und  Literaturen (unter Einschluss nichtindogermanischer Sprachen) / EV 500-EV 9999 Iranische Sprachen und Literaturen, Iranistik / EV 3200-EV 9999 Iranische Literatur / EV 4000-EV 8999 Neuiranische Literatur / EV 4300-EV 8999 Neupersische Literatur / EV 4400-EV 5999 Klassische neupersische Literatur (ab ca. 9. Jahrhundert) / EV 4700-EV 5999 Einzelne Autoren und Anonyma / EV 4966-EV 4967 Firdausī / Sekundärliteratur",,,,,,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā-i Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad ʿAlī Ṣāliḥī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت آیت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری محّمد علی صالحی,Ǧild 50: 19701-20100 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad ʿAlī Ṣāliḥī جلد ۵۰: ۱۹۷۰۱-۲۰۱۰۰ / سید محمود مرعشی نجفی ; با همکاری محّمد علی صالحی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Ṣāliḥī, Muḥammad ʿAlī *1971-* [MitwirkendeR] ; صالحى, محمد على *1971-* [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1400 h.š. = 1443 h.q. = 2021",902 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-168-1,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:50,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Amīnī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت آیت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری محّمد حسین امینی,Ǧild 52: 20501-20900 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Muḥammad Ḥusain Amīnī جلد ۵۲: ۲۰۵۰۱-۲۰۹۰۰ / سید محمود مرعشی نجفی ; با همکاری محّمد حسین امینی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Amīnī, Muḥammad Ḥusain *1967-* [MitwirkendeR] ; امینی, محمد حسین *1967-* [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1400 h.š. = 1443 h.q. = 2021",712 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-175-9,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:52,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
Fihrist-i nusḫahā-i ḫaṭṭī-i Kitābḫāna-i buzurg-i Haḍrat-i Āyatallāh al-ʿUẓmā Marʿašī Naǧafī : ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī : Īrān - Qum / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Mīr Maḥmūd Mūsawī فهرست نسخه‌هاى خطى کتابخانه بزرگ حضرت آيت الله العظمى مرعشى نجفى : گنجينۀ جهانى مخطوطات اسلامى : ایران - قم / سید محمود مرعشی نجفی ; با همکاری میر محمود موسوی,Ǧild 54: 21301-21700 / saiyid Maḥmūd Marʿašī Naǧafī ; bā hamkārī-i Mīr Maḥmūd Mūsawī جلد ۵۴: ۲۱۳۰۱- ۲۱۷۰۰ / سید محمود مرعشی نجفی ; با همکاری میر محمود موسوی,"Marʿašī, Maḥmūd *1941-* [VerfasserIn] ; 1941-* [VerfasserIn] Mūsawī, Mīr Maḥmūd *1965-* [MitwirkendeR] ; 1965-* [MitwirkendeR]","Marʿašī, Maḥmūd",,VerfasserIn,Čāp-i awwal - چاپ اول,"Persian, Arabic","Qum : Kitābḫāna-i Buzurg-i Ḥaḍrat Āyatallāh al-ʿUẓmā Marʿašī Naǧafī wa ganǧīna-i ǧahānī-i maḫṭūṭāt-i islāmī ; قم : کتابخانه بزرگ حضرت آیت الله العظمی مرعشی نجفی و گنجینه جهانی مخطوطات اسلامی, 1400 h.š. = 1443 h.q. = 2021",673 Seiten : Faksimiles,Katalog,,"In arabischer Schrift, persisch und arabisch",978-600-161-160-5,KJQ 200 Allgemeines {Neupersisch} APH 700 Orientalische Handschriften {Kataloge} APC 600 Asien {Handschriftenkataloge},HG-LS,APA 800 IRN QOM = FA 12716:54,,,,,,Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ] Kitābẖāna-i ʿUmūmī-i Ḥaḍrat-i Āyatallāh al-ʿUẓmā Naǧafī Marʿašī  <Kum> [Herausgebendes Organ],Katalog der Handschriften der Wissenschaftlichen Allgemeinbibliothek in Qum/Iran,,,,,,,,,,
